,,28_18,30_18,7_10,28_17,Normalized,Normalized,Normalized,Normalized,Normalized
Applications,Baseline,Perfect ITLB,Perfect DTLB,Perfect STLB,Perfect TLB,Baseline,Perfect ITLB,Perfect DTLB,Perfect STLB,Perfect TLB
srv128,0.510087,0.527197,0.573805,0.538394,0.59686,1,1.033543298,1.124915946,1.055494455,1.170114118
srv147,0.53348,0.545297,0.592616,0.549486,0.608514,1,1.022150784,1.110849516,1.030002999,1.140650071
srv194,0.438565,0.451021,0.506256,0.463221,0.523836,1,1.028401719,1.154346562,1.056219717,1.19443184
srv21,0.498465,0.516357,0.563163,0.529481,0.587491,1,1.035894195,1.129794469,1.062223025,1.178600303
srv224,0.530322,0.54272,0.590458,0.548272,0.607332,1,1.023378249,1.113395258,1.033847361,1.145213663
srv276,0.471259,0.48676,0.530481,0.504648,0.551191,1,1.032892741,1.125667627,1.070850636,1.169613737
srv287,0.444654,0.457832,0.517307,0.468347,0.536253,1,1.029636526,1.163392211,1.053284127,1.206000621
srv359,0.5372,0.549337,0.597333,0.554737,0.613789,1,1.022593075,1.111937826,1.032645197,1.142570737
srv364,0.53769,0.558142,0.596723,0.572019,0.623658,1,1.038036787,1.109790028,1.063845338,1.159883948
srv408,0.46742,0.482758,0.535152,0.493233,0.556539,1,1.032814171,1.14490608,1.055224423,1.190661504
srv413,0.539146,0.550328,0.598029,0.552836,0.612686,1,1.020740208,1.109215315,1.025392009,1.136400901
srv461,0.55491,0.560286,0.606887,0.569347,0.61355,1,1.009688058,1.093667442,1.026016832,1.105674794
srv486,0.52378,0.535345,0.580729,0.539649,0.596359,1,1.022079881,1.108726946,1.030297071,1.138567719
srv526,0.516697,0.531502,0.57753,0.540426,0.597554,1,1.028653156,1.117734378,1.045924401,1.156488232
srv551,0.509428,0.526233,0.572603,0.537232,0.595262,1,1.032987979,1.124011637,1.054578861,1.168490935
srv612,0.267211,0.267449,0.309031,0.273548,0.309368,1,1.000890682,1.156505533,1.023715341,1.157766709
srv669,0.499504,0.517866,0.562223,0.53127,0.587095,1,1.036760466,1.125562558,1.063595086,1.175355953
srv704,0.531866,0.544148,0.591605,0.549358,0.608118,1,1.023092283,1.112319644,1.032887983,1.143366938
srv706,0.506634,0.524111,0.57073,0.536123,0.594399,1,1.034496303,1.12651342,1.058205726,1.173231564
srv715,0.495195,0.513211,0.557618,0.52681,0.582044,1,1.036381627,1.126057412,1.063843536,1.175383435
srv73,0.497379,0.513708,0.555097,0.529745,0.576603,1,1.032830095,1.116044304,1.065073113,1.159282961
srv742,0.441998,0.452955,0.505207,0.466087,0.52037,1,1.024789705,1.143007434,1.054500247,1.17731302
srv743,0.520574,0.535419,0.582719,0.544159,0.602903,1,1.028516599,1.119377841,1.045305759,1.158150426
srv764,0.507625,0.525014,0.57195,0.536769,0.595444,1,1.034255602,1.126717557,1.05741246,1.172999754
srv776,0.551757,0.556818,0.603315,0.565572,0.609627,1,1.009172516,1.093443309,1.025038196,1.104883128
Mean,0.497,,,,,1,1.027,1.123,1.047,1.16
,AVG,,,,,GeoMean,GeoMean,GeoMean,GeoMean,GeoMean
